quien;"Nombre"
P0;"Kiosko Requesón"
P1;"Gestionar Inventario"
P2;"Gestionar Compras"
P3;"Atender Ventas"
P4;"Procesar Pagos"
D1;"Inventario de Productos"
D2;"Registro de Proveedores"
D3;"Registro de Ventas Diarias"
D4;"Caja y Movimientos"
D5;"Documentos Tributarios"
E1;"Proveedores de Lácteos"
E2;"Clientes"
E3;"Servicio de Impuestos Internos (SII)"
E4;"Banco"
P1.1;"Revisar Stock Actual"
P1.2;"Identificar Productos Faltantes"
P2.1;"Solicitar Cotización"
P2.2;"Emitir Orden de Compra"
P2.3;"Recepcionar Productos"
P3.1;"Atender Consultas"
P3.2;"Procesar Venta"
P4.1;"Cobrar al Cliente"
P4.2;"Realizar Cierre de Caja"
