nivel;quien;donde;"Qué"
0;E1;P0;"Productos lácteos;facturas de compra;lista de precios"
0;P0;E1;"Órdenes de compra;pagos"
0;E2;P0;"Consultas de productos;pedidos;pagos"
0;P0;E2;"Información de productos;quesos y lácteos;boletas"
0;P0;E3;"Declaración mensual de IVA;boletas electrónicas"
0;E3;P0;"Acuse de recibo;comprobante tributario"
0;P0;E4;"Depósitos diarios"
0;E4;P0;"Comprobantes de depósito;estado de cuenta"
1;D1;P1;"Stock actual de productos;fecha de vencimiento;cantidad disponible"
1;P1;D1;"Actualización de stock;productos próximos a vencer"
1;D3;P1;"Historial de ventas;productos más vendidos"
1;P1;P2;"Alerta de productos faltantes;lista de reposición necesaria"
1;E1;P2;"Productos solicitados;factura;guía de despacho"
1;P2;E1;"Orden de compra;especificaciones de productos"
1;P2;D1;"Ingreso de nuevos productos;actualización de inventario"
1;D2;P2;"Datos de proveedores;condiciones de pago;precios"
1;P2;D2;"Actualización de proveedores;nuevos contactos"
1;E2;P3;"Consulta de disponibilidad;selección de productos;solicitud de compra"
1;P3;E2;"Asesoría sobre quesos;productos disponibles;boleta de venta"
1;D1;P3;"Disponibilidad de productos;precios actuales;información de vencimientos"
1;P3;D1;"Descuento de stock por venta"
1;P3;D3;"Registro de venta realizada;detalle de productos vendidos"
1;P3;P4;"Monto a cobrar;detalle de productos"
1;P4;P3;"Confirmación de pago recibido"
1;P4;D4;"Registro de ingreso;medio de pago utilizado"
1;D4;P4;"Saldo inicial de caja"
1;P4;D5;"Generación de boleta electrónica"
1;P4;E4;"Depósito del efectivo del día"
1;E4;P4;"Comprobante de depósito"
1;D5;P4;"Correlativo de boletas"
1;P4;E3;"Boletas del periodo;resumen de ventas"
1;E3;P4;"Confirmación de recepción"
2;D1;P1.1;"Listado completo de productos;cantidades actuales;fechas de vencimiento"
2;P1.1;P1.2;"Reporte de stock actual;productos con bajo stock"
2;D3;P1.2;"Ventas de los últimos 30 días;tendencias de consumo"
2;P1.2;P2.1;"Lista de productos a reponer;cantidades sugeridas"
2;P2.1;D2;"Contactos de proveedores;últimos precios;condiciones"
2;P2.1;P2.2;"Cotización solicitada;proveedor seleccionado"
2;P2.2;E1;"Orden de compra formal;fecha de entrega requerida"
2;E1;P2.3;"Productos entregados;factura;documentación"
2;P2.3;D1;"Ingreso de mercadería nueva;actualización de cantidades y vencimientos"
2;P2.3;D2;"Actualización de última compra;evaluación del proveedor"
2;E2;P3.1;"Pregunta sobre tipos de queso;consulta de precios;degustación"
2;P3.1;D1;"Verificación de stock;consulta de características del producto"
2;P3.1;P3.2;"Productos seleccionados por el cliente;cantidades"
2;D1;P3.2;"Precios vigentes;disponibilidad confirmada"
2;P3.2;D3;"Pre-registro de venta"
2;P3.2;P4.1;"Solicitud de cobro;detalle de compra"
2;P4.1;D4;"Registro de transacción;hora y medio de pago"
2;P4.1;D5;"Emisión de boleta electrónica con correlativo"
2;P4.1;E2;"Boleta impresa;producto entregado"
2;P4.1;P3.2;"Confirmación de pago exitoso"
2;P3.2;D1;"Descuento definitivo de stock"
2;P3.2;D3;"Registro final de venta con boleta"
2;D4;P4.2;"Todos los movimientos del día;ingresos por medio de pago"
2;P4.2;D4;"Cierre de caja;arqueo final;diferencias si existen"
2;P4.2;E4;"Depósito de efectivo;monto total del día"
2;D5;P4.2;"Resumen de boletas emitidas en el día"
2;P4.2;E3;"Reporte diario para declaración mensual"
